"ID","Product Reference","Name*","UOM*","Product Category ID*","Product Category Name","Product Type","Sale Price","Purchase Price","Cost Price","Discount Price","Start Date","End Date","Description","Arabic Name","Quantity","Terminal ","Secondary / Default Unit","Secondary / Default Unit Qty","Brand","Product Group","Supplier Name","Active"
"'17003","","Sun White Rice 20Kg","EA","Raw Materials","Raw Materials","Item","0.1","128","128","0","2025-04-27 00:00:00","2025-04-27 00:00:00","","","0","","-","0","","","","Yes"
"'17004","","Sona Masoori Rice 35 Kg","EA","Raw Materials","Raw Materials","Item","0.01","82","82","0","2025-04-14 00:00:00","2025-04-14 00:00:00","","","0","","-","0","","","","Yes"
"'17005","","Mashhor Indian 1121 Long Grain Basmati Rice 1x35kg","EA","Raw Materials","Raw Materials","Item","0.1","140","140","0","2025-04-01 00:00:00","2025-04-01 00:00:00","","","0","","-","0","","","","Yes"
"'17006","","Chana Dal 5 Kgs","EA","Raw Materials","Raw Materials","Item","0.01","21.5","21.5","0","2025-07-31 00:00:00","2025-07-31 00:00:00","","","0","","-","0","","","","Yes"
"'17007","","Masoor Dal 15Kg","EA","Raw Materials","Raw Materials","Item","0.1","58","58","0","2025-04-01 00:00:00","2025-04-01 00:00:00","","","0","","-","0","","","","Yes"
"'17008","","Salt 25Kgs","EA","Raw Materials","Raw Materials","Item","0.1","15","15","0","2025-07-07 00:00:00","2025-07-07 00:00:00","","","0","","-","0","","","","Yes"
"'17009","","Salt Bags 20 KGS","EA","Raw Materials","Raw Materials","Item","0.01","16","16","0","2025-04-08 00:00:00","2025-04-08 00:00:00","","","0","","-","0","","","","Yes"
"'17010","","AOUN SODIUM BICARBONATE","EA","Raw Materials","Raw Materials","Item","0.1","3.6","3.6","0","2025-05-12 00:00:00","2025-05-12 00:00:00","","","0","","-","0","","","","Yes"
"'17011","","Aoun White Pepper Powder 500GR","EA","Raw Materials","Raw Materials","Item","0.1","41.8","41.8","0","2025-09-14 00:00:00","2025-09-14 00:00:00","","","0","","-","0","","","","Yes"
"'17012","","Aoun Cinnamon Powder 500GR","EA","Raw Materials","Raw Materials","Item","0.1","14.5","14.5","0","2025-09-14 00:00:00","2025-09-14 00:00:00","","","0","","-","0","","","","Yes"
"'17013","","Aoun Corriander Powder 500GR","EA","Raw Materials","Raw Materials","Item","0.1","11.64","11.64","0","2025-09-14 00:00:00","2025-09-14 00:00:00","","","0","","-","0","","","","Yes"
"'17014","","Aoun Cumin Powder 500GR","EA","Raw Materials","Raw Materials","Item","0.1","22.53","22.53","0","2025-09-14 00:00:00","2025-09-14 00:00:00","","","0","","-","0","","","","Yes"
"'17015","","Aoun Red Round Beans 900GR","EA","Raw Materials","Raw Materials","Item","0.1","13","13","0","2025-09-14 00:00:00","2025-09-14 00:00:00","","","0","","-","0","","","","Yes"
"'17016","","Aoun White Kidney Beans 900GR","EA","Raw Materials","Raw Materials","Item","0.1","10.79","10.79","0","2025-09-14 00:00:00","2025-09-14 00:00:00","","","0","","-","0","","","","Yes"
"'17017","","AOUN RED LENTILS 900GR","EA","Raw Materials","Raw Materials","Item","0.1","9.5","9.5","0","2025-08-28 00:00:00","2025-08-28 00:00:00","","","0","","-","0","","","","Yes"
"'17018","","Aoun Moghrabiya 900 GR","EA","Raw Materials","Raw Materials","Item","0.1","9.6","9.6","0","2025-08-21 00:00:00","2025-08-21 00:00:00","","","0","","-","0","","","","Yes"
"'17019","","AOUN BLACK PEPPER POWDER 500GR","EA","Raw Materials","Raw Materials","Item","0.1","27.5","27.5","0","2025-07-26 00:00:00","2025-07-26 00:00:00","","","0","","-","0","","","","Yes"
"'17020","","Aoun Lime","EA","Raw Materials","Raw Materials","Item","0.1","10.2","10.2","0","2025-07-16 00:00:00","2025-07-16 00:00:00","","","0","","-","0","","","","Yes"
"'17021","","Aoun Garlic Powder 500GR 1x12","EA","Raw Materials","Raw Materials","Item","0.1","15.91","15.91","0","2025-07-16 00:00:00","2025-07-16 00:00:00","","","0","","-","0","","","","Yes"
"'17022","","Aoun Green Lentils 900 Gr 1x20","EA","Raw Materials","Raw Materials","Item","0.1","9.5","9.5","0","2025-07-16 00:00:00","2025-07-16 00:00:00","","","0","","-","0","","","","Yes"
"'17023","","Aoun 7 Spices 500 GR","EA","Raw Materials","Raw Materials","Item","0.1","27.08","27.08","0","2025-05-29 00:00:00","2025-05-29 00:00:00","","","0","","-","0","","","","Yes"
"'17024","","Aoun Sumac Powder 500 GR","EA","Raw Materials","Raw Materials","Item","0.1","25.89","25.89","0","2025-05-29 00:00:00","2025-05-29 00:00:00","","","0","","-","0","","","","Yes"
"'17025","","Aoun All Spices Powder 500GR","EA","Raw Materials","Raw Materials","Item","0.1","35.63","35.63","0","2025-05-29 00:00:00","2025-05-29 00:00:00","","","0","","-","0","","","","Yes"
"'17026","","AOUN BROWN BURGHUL FINE 4KG","EA","Raw Materials","Raw Materials","Item","0.1","20","20","0","2025-05-20 00:00:00","2025-05-20 00:00:00","","","0","","-","0","","","","Yes"
"'17027","","AOUN WHITE BURGHUL FINE 	4kg","EA","Raw Materials","Raw Materials","Item","0.1","23","23","0","2025-04-28 00:00:00","2025-04-28 00:00:00","","","0","","-","0","","","","Yes"
"'17028","","SHP Cinnamon Stick","EA","Raw Materials","Raw Materials","Item","0.1","85","85","0","2025-07-16 00:00:00","2025-07-16 00:00:00","","","0","","-","0","","","","Yes"
"'17029","","SHP- Gourmet Foods White Onion Powder","EA","Raw Materials","Raw Materials","Item","0.1","14.45","14.45","0","2025-05-29 00:00:00","2025-05-29 00:00:00","","","0","","-","0","","","","Yes"
"'17030","","Corn Flour Bag 25KG","EA","Raw Materials","Raw Materials","Item","0.1","90","90","0","2025-07-07 00:00:00","2025-07-07 00:00:00","","","0","","-","0","","","","Yes"
"'17031","","Chicken Stock Powder 2 Kg","EA","Raw Materials","Raw Materials","Item","0.1","33.33","33.33","0","2025-08-28 00:00:00","2025-08-28 00:00:00","","","0","","-","0","","","","Yes"
"'17032","","QFM Flour No1 Bag 50 Kg","EA","Raw Materials","Raw Materials","Item","0.1","145","145","0","2025-08-28 00:00:00","2025-08-28 00:00:00","","","0","","-","0","","","","Yes"
"'17033","","Al Anabi- Vermicelli 24x400G","EA","Raw Materials","Raw Materials","Item","0.1","79.2","79.2","0","2025-10-05 00:00:00","2025-10-05 00:00:00","","","0","","-","0","","","","Yes"
"'17034","","Sugar Renuka 50Kgs","EA","Raw Materials","Raw Materials","Item","0.1","108","108","0","2025-08-28 00:00:00","2025-08-28 00:00:00","","","0","","-","0","","","","Yes"
"'17035","","Beef Stock Powder 2 Kg","EA","Raw Materials","Raw Materials","Item","0.1","33.33","33.33","0","2025-08-28 00:00:00","2025-08-28 00:00:00","","","0","","-","0","","","","Yes"
"'17036","","AOUN WHITE BURGHUL HARD 900Gr","EA","Raw Materials","Raw Materials","Item","0.1","5.52","5.52","0","2025-10-05 00:00:00","2025-10-05 00:00:00","","","0","","-","0","","","","Yes"
"'17038","","Almond Slice 1 Kg","EA","Raw Materials","Raw Materials","Item","0.1","45","45","0","2025-08-28 00:00:00","2025-08-28 00:00:00","","","0","","-","0","","","","Yes"
"'17039","","Wallnut 1 Kg","EA","Raw Materials","Raw Materials","Item","0.1","35","35","0","2025-08-28 00:00:00","2025-08-28 00:00:00","","","0","","-","0","","","","Yes"
"'17040","","Milk Powder - SLG 25 Kgs","EA","Raw Materials","Raw Materials","Item","0.1","290","290","0","2025-09-08 00:00:00","2025-09-08 00:00:00","","","0","","-","0","","","","Yes"
"'17050","","MAGGI VEGETABLES STOCK (6X1KG) XA FFQ","EA","Raw Materials","Raw Materials","Item","0.1","222","222","0","2026-01-04 00:00:00","2026-01-04 00:00:00","","","0","","-","0","","","","Yes"
"'17051","","MAGGI - CHICKEN BOUILLON POWDER (6X1KG)","EA","Raw Materials","Raw Materials","Item","0.1","186","186","0","2026-01-04 00:00:00","2026-01-04 00:00:00","","","0","","-","0","","","","Yes"
"'17052","","MAGGI BEEF BOUILLON 24(24X18G)N1 XA","EA","Raw Materials","Raw Materials","Item","0.1","576","576","0","2026-01-04 00:00:00","2026-01-04 00:00:00","","","0","","-","0","","","","Yes"
"'1743062863808","","Daily Dish Full Set","EA","10003722","Daily Dish","Item","65","0.01","0.01","0","2025-04-10 00:00:00","2025-04-10 00:00:00","","الطبق اليومي","-592","Kitchen","-","0","","","","Yes"
"'1743260202163","","Iftar Box Small","Each","10003722","Daily Dish","Item","18","0.1","0.1","0","","","","","-90","Kitchen","-","0","","","","Yes"
"'1743319329598","","Catering","Each","10003736","Events","Item","100","0.1","0.1","0","","","","","-274","Kitchen","-","0","","","","Yes"
"'1743439778638","","Mini Zaatar","Each","10003744","Appetizers","Item","35","0.1","0.1","0","","","","","-14.5","Kitchen","-","0","","","","Yes"
"'1743439819702","","Cheese Fatayer","Each","10003744","Appetizers","Item","40","0.1","0.1","0","","","","","-8","Kitchen","-","0","","","","Yes"
"'1743439888227","","Mini Pizza","Each","10003744","Appetizers","Item","40","0.1","0.1","0","","","","","-89.5","Kitchen","-","0","","","","Yes"
"'1743439939632","","Mini Kishk","Each","10003744","Appetizers","Item","42","0.1","0.1","0","","","","","-4","Kitchen","-","0","","","","Yes"
"'1743439965655","","Fatayer Bakleh","Each","10003744","Appetizers","Item","40","0.1","0.1","0","","","","","-16.5","Kitchen","-","0","","","","Yes"
"'1743439999594","","Fatayer Spinach","Each","10003744","Appetizers","Item","35","0.1","0.1","0","2025-04-19 00:00:00","2025-04-19 00:00:00","","","-203.5","Kitchen","-","0","","","","Yes"
"'1743440031920","","Puff Pastry Hot Dog","Each","10003744","Appetizers","Item","60","0.1","0.1","0","","","","","-6","Kitchen","-","0","","","","Yes"
"'1743440090429","","Sfiha Lahme","Each","10003744","Appetizers","Item","40","0.1","0.1","0","","","","","-21","Kitchen","-","0","","","","Yes"
