Document no,Date Ordered,Supplier,Product,UOM,Unit Price,Qty Ordered,Line Amt,Discount,Document Status
800106,2025-08-21 16:18:13,Ideal Qatar,Happy Gardens Green Olives_21023,Each,163.2,1,163.2,0,Completed
800106,2025-08-21 16:18:13,Ideal Qatar,Tannous Blossom Water 500 ML_21030,Each,5.95,12,71.4,0,Completed
800106,2025-08-21 16:18:13,Ideal Qatar,Aoun Moghrabiya 900 GR_17018,Each,9.6,10,96,0,Completed
800106,2025-08-21 16:18:13,Ideal Qatar,Aoun Egyptian Rice 5 Kgs_17001,Each,27.9,5,139.5,0,Completed
800106,2025-08-21 16:18:13,Ideal Qatar,LEBANON 5283000909763 AOUN PARBOILED RICE 2KG_17002,Each,13.6,5,68,0,Completed
800107,2025-08-22 11:41:44,Pilot Parties Processing,Waiter/Waitress - Monthly Rate 22 Days_900,Each,3200,1,3200,0,Completed
800108,2025-08-23 10:24:08,Packon Trading,M | W Plastic Container 250ml (500pcs)_12025,Each,63,3,189,0,Completed
800108,2025-08-23 10:24:08,Packon Trading,Handy Fuel 72 pcs / Ctn_12026,Each,97,1,97,0,Completed
800108,2025-08-23 10:24:08,Packon Trading,Container w/Hinged Lid 250ML /8OZ 500Pcs_12040,Each,97,1,97,0,Completed
800108,2025-08-23 10:24:08,Packon Trading,Plastic Rectangular Container 1500 - 300pcs_12023,Each,172,1,172,0,Completed
800108,2025-08-23 10:24:08,Packon Trading,Black Base Container 1 Compartment_12044,Each,77,1,77,0,Completed
800108,2025-08-23 10:24:08,Packon Trading,Wooden coffee Stirrer Paper Wrapped-14cm - CTN_12028,Each,123,1,123,0,Completed
800108,2025-08-23 10:24:08,Packon Trading,Wet wipes 7*11cm -1000p_12065,Each,89,1,89,0,Completed
800108,2025-08-23 10:24:08,Packon Trading,Q Paper Napkins 33x33cm - CTN_12027,Each,61,1,61,0,Completed
800108,2025-08-23 10:24:08,Packon Trading,M/W Rectangular Cont w/Lid 1000ML - 500pcs_12066,Each,155,1,155,0,Completed
800108,2025-08-23 10:24:08,Packon Trading,Kraft Salad Bowl 750ML - CTN_12037,Each,158,1,158,0,Completed
800109,2025-08-24 15:07:38,Packon Trading,Cling Film 6pcs_12051,Each,77,2,154,0,Completed
800109,2025-08-24 15:07:38,Packon Trading,Aluminum Pot 173 * 50 pcs per ctn small size_12017,Each,105,1,105,0,Completed
800109,2025-08-24 15:07:38,Packon Trading,Aluminum Pot 175 * 100 pcs per ctn Big size_12016,Each,225,1,225,0,Completed
800109,2025-08-24 15:07:38,Packon Trading,Vinyl Gloves Medium 10pcs_12014,Each,51,1,51,0,Completed
800109,2025-08-24 15:07:38,Packon Trading,Black Round Container - RO16_12043,Each,43,2,86,0,Completed
