Document no,Date Ordered,Supplier,Product,UOM,Unit Price,Qty Ordered,Line Amt,Discount,Document Status
800155,2025-09-15 11:42:56,RealPack,RP Plastic Container Round 250 ml 500pcs_12011,Each,77,3,231,0,Completed
800156,2025-09-16 11:35:47,Fahed Foods w.l.l.,IT Chopped Tomatoes 2550GMx6 Patisiya_21017,Each,75,6,450,0,Completed
800156,2025-09-16 11:35:47,Fahed Foods w.l.l.,Chicken Breast Aurora 2kgx6_16012,Each,168,2,336,0,Completed
800157,2025-09-18 14:50:09,Fahed Foods w.l.l.,Shrimp Frozen 11/15 1 Kg_18028,Each,28,10,280,0,Completed
800157,2025-09-18 14:50:09,Fahed Foods w.l.l.,Aviko H Patatas Bravas 4x2500g_18039,Each,110,2,220,0,Completed
800157,2025-09-18 14:50:09,Fahed Foods w.l.l.,FZ EG Mango SlicesFahed Food 1Kgx8 / Box_18008,Each,69,1,69,0,Completed
800157,2025-09-18 14:50:09,Fahed Foods w.l.l.,FZ EG Strawberry 1kgx8 Vegie-Tut_18009,Each,60,1,60,0,Completed
800157,2025-09-18 14:50:09,Fahed Foods w.l.l.,Frz EG Okra Zero 20gx400 Hi-Chef_18038,Each,83,1,83,0,Completed
800157,2025-09-18 14:50:09,Fahed Foods w.l.l.,FRZ EG Cut Beans 2.5x4kg Hi-Chef_18017,Each,43,1,43,0,Completed
800157,2025-09-18 14:50:09,Fahed Foods w.l.l.,Fish Filet Frozen - Vietnam 1 Kg_18025,Each,9,10,90,0,Completed
800158,2025-09-18 15:06:45,BRF,Sadia Chicken Shawarma - ctn_16006,Each,100,2,200,0,Completed
800158,2025-09-18 15:06:45,BRF,Sadia Whole Chicken 1100 Gms - 10 Pcs/Ctn_16009,Each,99,3,297,0,Completed
800159,2025-09-18 15:19:16,Tredos Trading,Wabel Kaskawal Shredded Mozarells 6x2Kg_18020,Each,300,1,300,0,Completed
800159,2025-09-18 15:19:16,Tredos Trading,Chicken Strips Regular 6x1KG_16003,Each,140,1,140,0,Completed
800159,2025-09-18 15:19:16,Tredos Trading,Tomex Frozen Sweet Corn 4x2.5KG_18000,Each,95,1,95,0,Completed
800160,2025-09-18 15:25:41,Bluefin,Topside Chilled South Africa_15009,KG,32,40,1280,0,Completed
800161,2025-09-18 15:31:46,Friendly Food Qatar w.l.l.,LAKELAND - MILLAC WHIP TOPPING UNSWEETENED (12X1L)_14001,Each,189,1,189,0,Completed
800161,2025-09-18 15:31:46,Friendly Food Qatar w.l.l.,GRANORO PENNE RIGATE 24X500G (1026)_14002,Each,129.6,1,129.6,0,Completed
800161,2025-09-18 15:31:46,Friendly Food Qatar w.l.l.,"GRANORO DEDICATO ""NIDI FETTUCCINE"" 12X500G (48082)_14003",Each,90,1,90,0,Completed
800161,2025-09-18 15:31:46,Friendly Food Qatar w.l.l.,GRANORO - SPIRALI GRANDI 24X500G (10100)_14004,Each,141.6,1,141.6,0,Completed
800161,2025-09-18 15:31:46,Friendly Food Qatar w.l.l.,ALKARAMAH - SPRING ROLLS SMALL{24X160G}_14005,Each,78,1,78,0,Completed
800162,2025-09-18 16:51:30,Al Majed Marketing & Distribution,EGG LARGE 360PCS (12X30's)_21009,Each,155,2,310,0,Completed
800163,2025-09-20 14:59:17,Valencia International Trading Company w.l.l.,Frozen Mix Berries 2.5kgs Andros Chef_19011,Each,87.5,2,175,0,Completed
800163,2025-09-20 14:59:17,Valencia International Trading Company w.l.l.,WHITE SUGAR PASTE 1KG X 12PCS_19005,Each,180,1,180,0,Completed
800163,2025-09-20 14:59:17,Valencia International Trading Company w.l.l.,Croissant Butter 82% Le Grand Tourage 10x1Kg_19004,Each,575,1,575,0,Completed
800163,2025-09-20 14:59:17,Valencia International Trading Company w.l.l.,Bake XL - Improver 10Kgs_19000,Each,163,1,163,0,Completed
800163,2025-09-20 14:59:17,Valencia International Trading Company w.l.l.,Milk Compound Chocolate 5Kgs_19001,Each,80,1,80,0,Completed
800163,2025-09-20 14:59:17,Valencia International Trading Company w.l.l.,DARK COMPOUND BLOCKS 2.5KG_19015,Each,45,1,45,0,Completed
800163,2025-09-20 14:59:17,Valencia International Trading Company w.l.l.,White Compound Chocolate 5Kgs_19002,Each,80,1,80,0,Completed
800164,2025-09-20 15:25:24,Al Majed Marketing & Distribution,Chana Dal 5 Kgs_17006,Each,21.5,1,21.5,0,Completed
800164,2025-09-20 15:25:24,Al Majed Marketing & Distribution,Sugar Renuka 50Kgs_17034,Each,108,1,108,0,Completed
800164,2025-09-20 15:25:24,Al Majed Marketing & Distribution,Masoor Dal 15Kg_17007,Each,58,3,174,0,Completed
800164,2025-09-20 15:25:24,Al Majed Marketing & Distribution,Salt 25Kgs_17008,Each,15,1,15,0,Completed
800164,2025-09-20 15:25:24,Al Majed Marketing & Distribution,Sona Masoori Rice 35 Kg_17004,Each,92,3,276,0,Completed
800165,2025-09-20 15:51:50,Tredos Trading,Tomex Spinach Leaf 4x2.5kgs_18031,Each,55,2,110,0,Completed
800165,2025-09-20 15:51:50,Tredos Trading,Hash Brown Triangular 4x2.5Kgs_18022,Each,90,1,90,0,Completed
800166,2025-09-21 14:38:34,Fahed Foods w.l.l.,Chicken Breast Aurora 2kgx6_16012,Each,168,5,840,0,Completed
800167,2025-09-21 14:47:45,Al Majed Marketing & Distribution,Sunflower oil 4x5Lit_21000,Each,114,7,798,0,Completed
800168,2025-09-23 11:44:42,BRF,Sadia Whole Chicken 1100 Gms - 10 Pcs/Ctn_16009,Each,99,6,594,0,Completed
800169,2025-09-23 12:13:45,Tredos Trading,Tomex Spinach Leaf 4x2.5kgs_18031,Each,55,3,165,0,Completed
800169,2025-09-23 12:13:45,Tredos Trading,Barilla Spaghetti (No.5)_10016,Each,150,1,150,0,Completed
800169,2025-09-23 12:13:45,Tredos Trading,Chicken Strips Regular 6x1KG_16003,Each,140,2,280,0,Completed
800169,2025-09-23 12:13:45,Tredos Trading,Breaded Chicken Nuggets 6x1KG_309,Each,90,2,180,0,Completed
800170,2025-09-23 13:17:01,Ideal Qatar,AOUN BROWN BURGHUL FINE 4KG_17026,Each,19.71,6,118.26,0,Completed
800170,2025-09-23 13:17:01,Ideal Qatar,"AOUN WHITE BURGHUL FINE 	4kg_17027",Each,22.8,6,136.8,0,Completed
800170,2025-09-23 13:17:01,Ideal Qatar,Happy Gardens Tehina Brl N.W. 10KG_21022,Each,160,1,160,0,Completed
800170,2025-09-23 13:17:01,Ideal Qatar,Happy Gardens Vine Leaves -Deluxe 908GR 1x12_21028,Each,160.65,6,963.9,0,Completed
800171,2025-09-23 14:07:16,Fahed Foods w.l.l.,Aviko Crunchy Crispy 9.5mm_18037,Each,90,3,270,0,Completed
800172,2025-09-23 14:11:30,Al Majed Marketing & Distribution,Zeeba Rice 3 kgs x12_17000,Each,144,2,288,0,Completed
800172,2025-09-23 14:11:30,Al Majed Marketing & Distribution,Al Wajba Red Vinegar 1ltr x 12 pcs_21031,Each,34,1,34,0,Completed
800174,2025-09-23 14:20:28,Friendly Food Qatar w.l.l.,StarSea Chunk White Tune in sunflower oil 6x1.85Kg_21035,Each,235,2,470,0,Completed
800175,2025-09-23 14:26:50,Benina Food,Dodoni - Feta Cheese 200 GRS_13002,Each,14.5,12,174,0,Completed
800176,2025-09-27 11:24:49,Fahed Foods w.l.l.,FZ EG Mango SlicesFahed Food 1Kgx8 / Box_18008,Each,69,1,69,0,Completed
800176,2025-09-27 11:24:49,Fahed Foods w.l.l.,FZ EG Strawberry 1kgx8 Vegie-Tut_18009,Each,60,1,60,0,Completed
800176,2025-09-27 11:24:49,Fahed Foods w.l.l.,Fish Filet Frozen - Vietnam 1 Kg_18025,Each,9,10,90,0,Completed
800176,2025-09-27 11:24:49,Fahed Foods w.l.l.,Shrimp Frozen 11/15 1 Kg_18028,Each,28,10,280,0,Completed
800176,2025-09-27 11:24:49,Fahed Foods w.l.l.,Chicken Breast Aurora 2kgx6_16012,Each,168,4,672,0,Completed
800176,2025-09-27 11:24:49,Fahed Foods w.l.l.,Frz EG Mixed Vegetables 2.5Kgx4 Hi-Chef_18010,Each,34,2,68,0,Completed
800176,2025-09-27 11:24:49,Fahed Foods w.l.l.,Frz EG Cauli Flower 2.5Kgx4 Hi-Chef_18013,Each,35,1,35,0,Completed
800176,2025-09-27 11:24:49,Fahed Foods w.l.l.,Frz EG Okra Zero 20gx400 Hi-Chef_18038,Each,83,1,83,0,Completed
800177,2025-09-27 12:02:06,Al Majed Marketing & Distribution,Chana Dal 5 Kgs_17006,Each,21.5,2,43,0,Completed
800177,2025-09-27 12:02:06,Al Majed Marketing & Distribution,EGG LARGE 360PCS (12X30's)_21009,Each,155,3,465,0,Completed
800178,2025-09-27 12:13:36,Bluefin,Eye Round Chilled South African_15010,Each,32,20,640,0,Completed
800178,2025-09-27 12:13:36,Bluefin,Chilled Beef Tenderlion_15004,KG,32,20,640,0,Completed
800178,2025-09-27 12:13:36,Bluefin,Topside Chilled South Africa_15009,KG,32,40,1280,0,Completed
800179,2025-10-02 12:18:01,Tredos Trading,Wabel Kaskawal Shredded Mozarells 6x2Kg_18020,Each,300,1,300,0,Completed
800179,2025-10-02 12:18:01,Tredos Trading,Perfecta Mayonnaise_21011,Each,180,1,180,0,Completed
800180,2025-10-02 12:21:21,Fahed Foods w.l.l.,FZ EG Mango SlicesFahed Food 1Kgx8 / Box_18008,Each,69,1,69,0,Completed
800180,2025-10-02 12:21:21,Fahed Foods w.l.l.,FZ EG Strawberry 1kgx8 Vegie-Tut_18009,Each,60,1,60,0,Completed
800180,2025-10-02 12:21:21,Fahed Foods w.l.l.,Aviko Crunchy Crispy 9.5mm_18037,Each,90,2,180,0,Completed
800180,2025-10-02 12:21:21,Fahed Foods w.l.l.,Frz EG Okra Zero 20gx400 Hi-Chef_18038,Each,83,1,83,0,Completed
800181,2025-10-02 12:33:51,BRF,Sadia Whole Chicken 1100 Gms - 10 Pcs/Ctn_16009,Each,99,3,297,0,Completed
800182,2025-10-04 11:46:31,Bluefin,Topside Chilled South Africa_15009,KG,32,20,640,0,Completed
800183,2025-10-04 15:28:16,Al Majed Marketing & Distribution,Palm Oil 18 Ltr_21001,Each,80,3,240,0,Completed
800183,2025-10-04 15:28:16,Al Majed Marketing & Distribution,Masoor Dal 15Kg_17007,Each,58,3,174,0,Completed
800183,2025-10-04 15:28:16,Al Majed Marketing & Distribution,Sona Masoori Rice 35 Kg_17004,Each,82,3,246,0,Completed
800183,2025-10-04 15:28:16,Al Majed Marketing & Distribution,Salt 25Kgs_17008,Each,15,1,15,0,Completed
800183,2025-10-04 15:28:16,Al Majed Marketing & Distribution,Mashhor Indian 1121 Long Grain Basmati Rice 1x35kg_17005,Each,140,1,140,0,Completed
800184,2025-10-04 17:44:02,Packon Trading,Plastic Bowl 4OZ - 2000pcs_12024,Each,149,1,149,0,Completed
800184,2025-10-04 17:44:02,Packon Trading,Plastic Rectangular Container 1500 - 300pcs_12023,Each,172,1,172,0,Completed
800184,2025-10-04 17:44:02,Packon Trading,RP Kraft Salad Bowl - 75o ML 300pcs_12004,Each,150,1,150,0,Completed
800184,2025-10-04 17:44:02,Packon Trading,Black Base Container 1 Compartment_12044,Each,88,1,88,0,Completed
800184,2025-10-04 17:44:02,Packon Trading,Garbage Bag - 90*110 (12KG)_12000,Each,48,1,48,0,Completed
800184,2025-10-04 17:44:02,Packon Trading,Black Round Container - RO16_12043,Each,43,1,43,0,Completed
800185,2025-10-05 13:22:50,Friendly Food Qatar w.l.l.,Al Anabi- Vermicelli 24x400G_17033,Each,79.2,1,79.2,0,Completed
800185,2025-10-05 13:22:50,Friendly Food Qatar w.l.l.,"GRANORO DEDICATO ""NIDI FETTUCCINE"" 12X500G (48082)_14003",Each,90,2,180,0,Completed
800186,2025-10-06 13:32:31,Bluefin,Topside Chilled South Africa_15009,KG,32,50,1600,0,Completed
800187,2025-10-06 13:33:31,Ideal Qatar,AOUN WHITE BURGHUL HARD 900Gr_17036,Each,5.52,6,33.12,0,Completed
800187,2025-10-06 13:33:31,Ideal Qatar,Happy Gardens Tahina Extra 8.58 NW - GW 9.00_21013,Each,162.56,2,325.12,0,Completed
800188,2025-10-06 16:00:28,Valencia International Trading Company w.l.l.,SUGAR PASTE White 1KG X 12PCS_19007,Each,168,1,168,0,Completed
800188,2025-10-06 16:00:28,Valencia International Trading Company w.l.l.,Croissant Butter 82% Le Grand Tourage 10x1Kg_19004,Each,575,1,575,0,Completed
800189,2025-10-08 16:57:16,Friendly Food Qatar w.l.l.,ALKARAMAH - SPRING ROLLS SMALL{24X160G}_14005,Each,78,2,156,0,Completed
800190,2025-10-09 10:59:06,BRF,Sadia Whole Chicken 1100 Gms - 10 Pcs/Ctn_16009,Each,99,3,297,0,Completed
800191,2025-10-11 18:13:28,Fahed Foods w.l.l.,Aviko Crunchy Crispy 9.5mm_18037,Each,90,2,180,0,Completed
800192,2025-10-11 18:32:47,Benina Food,Benina - Soy Sauce Original 1.86L_20001,Each,12.5,10,125,0,Completed
800193,2025-10-13 10:02:18,Al Hattab For Food Stuffs & Trading,Sunflower oil 4x5Lit_21000,Each,115,7,805,0,Completed
800194,2025-10-14 14:42:12,Bluefin,QK-South African Chilled Beef Knuckle_15011,Each,32,20,640,0,Completed
800195,2025-10-15 15:28:44,Qnited Trading Company,Piping Bag 10 Pcs_19018,Each,195,1,195,0,Completed
800195,2025-10-15 15:28:44,Qnited Trading Company,Vizyon White Sugar Paste 1kgx12Pcs_19017,Each,180,1,180,0,Completed
800195,2025-10-15 15:28:44,Qnited Trading Company,Spiral Whipping Cream 1 Ltrx12pcs_19021,Each,140,1,140,0,Completed
800195,2025-10-15 15:28:44,Qnited Trading Company,Vizyon Custard 1Kgx10pcs_19019,Each,285,1,285,0,Completed
800196,2025-10-18 11:09:29,Al Majed Marketing & Distribution,Masoor Dal 15Kg_17007,Each,58,3,174,0,Completed
800196,2025-10-18 11:09:29,Al Majed Marketing & Distribution,Chana Dal 5 Kgs_17006,Each,21.5,5,107.5,0,Completed
800196,2025-10-18 11:09:29,Al Majed Marketing & Distribution,Mashhor Indian 1121 Long Grain Basmati Rice 1x35kg_17005,Each,140,3,420,0,Completed
800196,2025-10-18 11:09:29,Al Majed Marketing & Distribution,Sona Masoori Rice 35 Kg_17004,Each,82,3,246,0,Completed
800197,2025-10-18 11:14:52,BRF,Sadia Whole Chicken 1100 Gms - 10 Pcs/Ctn_16009,Each,99,10,990,0,Completed
800198,2025-10-18 14:24:19,Qnited Trading Company,Qnited Aluminum Container - 1120 (400pcs)_12062,Each,90,3,270,0,Completed
800198,2025-10-18 14:24:19,Qnited Trading Company,Cling Film 6pcs_12051,Each,75,5,375,0,Completed
800198,2025-10-18 14:24:19,Qnited Trading Company,Qnited Plastic Blue Bag 5Kgs_12064,Each,36,1,36,0,Completed
800198,2025-10-18 14:24:19,Qnited Trading Company,Qnited White Plastic Bag 5Kgs_12063,Each,36,1,36,0,Completed
800198,2025-10-18 14:24:19,Qnited Trading Company,Toilet Roll 10pcs_12002,Each,9,10,90,0,Completed
800198,2025-10-18 14:24:19,Qnited Trading Company,Maxi Roll - 6pcs_12032,Each,20,2,40,0,Completed
800198,2025-10-18 14:24:19,Qnited Trading Company,QNited Paper Bag 31x36x18 200pcs_12055,Each,140,1,140,0,Completed
800198,2025-10-18 14:24:19,Qnited Trading Company,Qnited Paper Bag 27x32x16 200pcs_12056,Each,120,2,240,0,Completed
800198,2025-10-18 14:24:19,Qnited Trading Company,Qnited Paper BAg 22x14x21 200 Pcs_12057,Each,80,1,80,0,Completed
800198,2025-10-18 14:24:19,Qnited Trading Company,Qnited Kraft Salad Bowl 500ML - 300 pcs/CTN_12058,Each,130,2,260,0,Completed
800198,2025-10-18 14:24:19,Qnited Trading Company,Black Round Container - RO16_12043,Each,40,2,80,0,Completed
800198,2025-10-18 14:24:19,Qnited Trading Company,Qnited Black Container RE32 - 150pcs/Ctn_12059,Each,67,2,134,0,Completed
800198,2025-10-18 14:24:19,Qnited Trading Company,Qnited 1 Compartement 250pcs/Ctn_12060,Each,85,2,170,0,Completed
800198,2025-10-18 14:24:19,Qnited Trading Company,Qnited Hinged Clear Container Small Size 300pcs/CTN_12061,Each,45,1,45,0,Completed
800198,2025-10-18 14:24:19,Qnited Trading Company,Vinyl Gloves Medium 10pcs_12014,Each,45,1,45,0,Completed
800199,2025-10-18 15:16:25,Ideal Qatar,Aoun Sumac Powder 500 GR_17024,Each,25.89,4,103.56,0,Completed
800199,2025-10-18 15:16:25,Ideal Qatar,Happy Gardens Tahina Extra 8.58 NW - GW 9.00_21013,Each,162.56,2,325.12,0,Completed
800199,2025-10-18 15:16:25,Ideal Qatar,SHP- Gourmet Foods White Onion Powder_17029,Each,14.45,1,14.45,0,Completed
800199,2025-10-18 15:16:25,Ideal Qatar,Aoun 7 Spices 500 GR_17023,Each,27.08,4,108.32,0,Completed
800200,2025-10-18 15:31:51,Fahed Foods w.l.l.,Shrimp Frozen 11/15 1 Kg_18028,Each,28,10,280,0,Completed
800200,2025-10-18 15:31:51,Fahed Foods w.l.l.,Fish Filet Frozen - Vietnam 1 Kg_18025,Each,9,10,90,0,Completed
800200,2025-10-18 15:31:51,Fahed Foods w.l.l.,Aviko Crunchy Crispy 9.5mm_18037,Each,90,3,270,0,Completed
800200,2025-10-18 15:31:51,Fahed Foods w.l.l.,Frz EG Okra Zero 20gx400 Hi-Chef_18038,Each,83,2,166,0,Completed
800201,2025-10-18 15:48:01,Tredos Trading,Tomex Spinach Leaf 4x2.5kgs_18031,Each,55,3,165,0,Completed
800202,2025-10-20 15:47:43,Bluefin,QK-South African Chilled Beef Knuckle_15011,Each,32,20,640,0,Completed
800203,2025-10-22 15:26:46,Benina Food,Talmera - 160 Slice American Cheese Colored - 2.27Kg_13013,Each,56.75,1,56.75,0,Completed
800203,2025-10-22 15:26:46,Benina Food,Dodoni - Feta Goat Cheese 200 GRS_13003,Each,14,12,168,0,Completed
800203,2025-10-22 15:26:46,Benina Food,Lexquis- Emmental Block_13010,Each,35.72,1,35.72,0,Completed
800203,2025-10-22 15:26:46,Benina Food,Mission - Tort Wheat 15 A 8x15 171c Original - 200g_13011,Each,5,50,250,0,Completed
800203,2025-10-22 15:26:46,Benina Food,Talmera - 120 Slice American Cheese Colored SSI - 2.27Kg_13012,Each,56.75,1,56.75,0,Completed
800203,2025-10-22 15:26:46,Benina Food,Dodoni - Feta Cheese 200 GRS_13002,Each,14.5,12,174,0,Completed
800204,2025-10-23 09:46:47,Fahed Foods w.l.l.,FZ EG Mango SlicesFahed Food 1Kgx8 / Box_18008,Each,69,1,69,0,Completed
800204,2025-10-23 09:46:47,Fahed Foods w.l.l.,Chilled BR Beef Topside BL JBS_15012,Each,29,40,1160,0,Completed
800204,2025-10-23 09:46:47,Fahed Foods w.l.l.,FZ EG Strawberry 1kgx8 Vegie-Tut_18009,Each,60,1,60,0,Completed
800204,2025-10-23 09:46:47,Fahed Foods w.l.l.,Aviko H Patatas Bravas 4x2500g_18039,Each,110,2,220,0,Completed
800205,2025-10-23 10:10:46,Al Rayes Laundry Equipment & Accessories w.l.l.,Al Rayes Bio Lab Maxi Roll 600 G Green_4027,Each,30,4,120,0,Completed
800205,2025-10-23 10:10:46,Al Rayes Laundry Equipment & Accessories w.l.l.,Al Rayes Echo Foamchlor FC313 5ltr_4020,Each,49,2,98,0,Completed
800205,2025-10-23 10:10:46,Al Rayes Laundry Equipment & Accessories w.l.l.,Al Rayes Dish Soap Ginger Lemon 5LTR_4026,Each,40,2,80,0,Completed
800205,2025-10-23 10:10:46,Al Rayes Laundry Equipment & Accessories w.l.l.,Al Rayes Echo Zan BK 1 ltr_4021,Each,80,1,80,0,Completed
800206,2025-10-23 10:56:49,Packon Trading,Handy Fuel 72 pcs / Ctn_12026,Each,97,3,291,0,Completed
800207,2025-10-23 11:29:19,Verde W.l.l.,Philadelphia Cream Cheese 6.6KG_13004,Each,219,1,219,0,Completed
800208,2025-10-23 12:40:18,Qnited Trading Company,DARK COMPOUND BLOCKS 2.5KG_19015,Each,45,2,90,0,Completed
800208,2025-10-23 12:40:18,Qnited Trading Company,Chocolate Sticks 1KG_19016,Each,27,5,135,0,Completed
800208,2025-10-23 12:40:18,Qnited Trading Company,Icing sugar 2Kg 5 pkt_19031,Each,60,1,60,0,Completed
800208,2025-10-23 12:40:18,Qnited Trading Company,Spiral Whipping Cream 1 Ltrx12pcs_19021,Each,140,2,280,0,Completed
800208,2025-10-23 12:40:18,Qnited Trading Company,MILK COMPOUND BLOCKS 2.5KG_19014,Each,45,2,90,0,Completed
800208,2025-10-23 12:40:18,Qnited Trading Company,Vanilla Liquid Btl_19033,Each,61,1,61,0,Completed
800208,2025-10-23 12:40:18,Qnited Trading Company,Backaldrin Dry Yeast 20Pc x 500g_19032,Each,125,1,125,0,Completed
800208,2025-10-23 12:40:18,Qnited Trading Company,SUGAR PASTE COLOR 1KG_19009,Each,16,5,80,0,Completed
800208,2025-10-23 12:40:18,Qnited Trading Company,WHITE COMPOUND BLOCKS 2.5KG_19013,Each,45,2,90,0,Completed
800209,2025-10-23 13:21:28,Qnited Trading Company,U shape PET Juice cup 12OZ 1000pc/Box_4037,Each,150,1,150,0,Completed
800209,2025-10-23 13:21:28,Qnited Trading Company,Stretch film 2.5Kgx6_4038,Each,100,1,100,0,Completed
800209,2025-10-23 13:21:28,Qnited Trading Company,Vinyl Gloves Medium 10pcs_12014,Each,45,3,135,0,Completed
800209,2025-10-23 13:21:28,Qnited Trading Company,Paper Cup Double Wall 500pcs_12030,Each,90,2,180,0,Completed
800210,2025-10-23 14:26:45,Al Hattab For Food Stuffs & Trading,Fresh Eggs Grade A -_21010,Each,220,3,660,0,Completed
800210,2025-10-23 14:26:45,Al Hattab For Food Stuffs & Trading,Flour Turkey 50 Kgs_19035,Each,90,1,90,0,Completed
800210,2025-10-23 14:26:45,Al Hattab For Food Stuffs & Trading,Pure Ghee 1kg_13014,Each,37,2,74,0,Completed
800211,2025-10-23 14:37:57,BRF,Sadia Chicken Shawarma - ctn_16006,Each,100,1,100,0,Completed
800211,2025-10-23 14:37:57,BRF,Sadia Whole Chicken 1100 Gms - 10 Pcs/Ctn_16009,Each,99,4,396,0,Completed
800211,2025-10-23 14:37:57,BRF,Sadia Hot Dog small size 20x340gr_16007,Each,74,1,74,0,Completed
800212,2025-10-23 14:53:38,Al Majed Marketing & Distribution,Zeeba Rice 3 kgs x12_17000,Each,144,2,288,0,Completed
800213,2025-10-23 16:45:34,Ideal Qatar,MBM Apple Vinegar 500ML_21004,Each,6.25,12,75,0,Completed
800213,2025-10-23 16:45:34,Ideal Qatar,LEBANON 5283000909763 AOUN PARBOILED RICE 2KG_17002,Each,16,10,160,0,Completed
800213,2025-10-23 16:45:34,Ideal Qatar,BM Mixed pickles 10 kg_21007,Each,81.5,1,81.5,0,Completed
800214,2025-10-26 10:23:20,Packon Trading,Aluminum Container - 1120 (400pcs)_12022,Each,89,3,267,0,Completed
800214,2025-10-26 10:23:20,Packon Trading,M | W Plastic Container 250ml (500pcs)_12025,Each,63,3,189,0,Completed
800216,2025-10-26 12:28:31,Qnited Trading Company,Qnited Cocoa Powder 10Kg Reference 900_19039,Each,300,1,300,0,Completed
800217,2025-10-26 14:38:52,Gulf Center,Frozen Mackerel Whole 10kgs_18034,Each,60,2,120,0,Completed
800218,2025-10-27 16:14:38,Fahed Foods w.l.l.,Aviko Crunchy Crispy 9.5mm_18037,Each,90,2,180,0,Completed
800218,2025-10-27 16:14:38,Fahed Foods w.l.l.,Fish Filet Frozen - Vietnam 1 Kg_18025,Each,9,10,90,0,Completed
800218,2025-10-27 16:14:38,Fahed Foods w.l.l.,PD Shrimp 11/15 (10 x 1 Kg )_18029,Each,29,20,580,0,Completed
800219,2025-10-27 16:40:26,Tredos Trading,Green Beans - Cut 4x2.5KG_18018,Each,60,1,60,0,Completed
800219,2025-10-27 16:40:26,Tredos Trading,Breaded Chicken Nuggets 6x1KG_309,Each,90,1,90,0,Completed
800219,2025-10-27 16:40:26,Tredos Trading,Perfecta Mayonnaise_21011,Each,180,1,180,0,Completed
800219,2025-10-27 16:40:26,Tredos Trading,Chicken Strips Regular 6x1KG_16003,Each,140,2,280,0,Completed
800219,2025-10-27 16:40:26,Tredos Trading,Mozzarella Sticks _1755960205677,Eachch,75,1,75,0,Completed
800219,2025-10-27 16:40:26,Tredos Trading,Green Peas - Medium Fine 4x2.5KG_18014,Each,63,1,63,0,Completed
800220,2025-10-27 16:57:58,BRF,Sadia Whole Chicken 1100 Gms - 10 Pcs/Ctn_16009,Each,99,6,594,0,Completed
800221,2025-10-28 10:40:43,Fahed Foods w.l.l.,Chilled Beef Tenderlion_15004,KG,83,20,1660,0,Completed
800222,2025-10-29 11:36:17,Qnited Trading Company,Campina Butter Sheet 2x5_19051,Each,500,1,500,0,Completed
800223,2025-10-29 15:00:30,Qnited Trading Company,Qnited Portion Cup Clear 4OZ 1000pcs_12052,Each,75,2,150,0,Completed
800223,2025-10-29 15:00:30,Qnited Trading Company,Qnited Paper Bag 27x32x16 200pcs_12056,Each,120,4,480,0,Completed
800224,2025-11-01 12:35:31,Al Majed Marketing & Distribution,Masoor Dal 15Kg_17007,Each,58,3,174,0,Completed
800224,2025-11-01 12:35:31,Al Majed Marketing & Distribution,Sona Masoori Rice 35 Kg_17004,Each,82,3,246,0,Completed
800225,2025-11-01 12:41:12,BRF,Sadia Whole Chicken 1100 Gms - 10 Pcs/Ctn_16009,Each,99,10,990,0,Completed
800226,2025-11-01 13:07:45,Fahed Foods w.l.l.,Aviko Crunchy Crispy 9.5mm_18037,Each,90,2,180,0,Completed
800226,2025-11-01 13:07:45,Fahed Foods w.l.l.,Chilled BR Beef Topside BL JBS_15012,Each,29,20,580,0,Completed
800227,2025-11-01 13:25:45,Al Rayes Laundry Equipment & Accessories w.l.l.,Al Rayes Bio Lab Maxi Roll 600 G Green_4027,Each,30,10,300,0,Completed
800227,2025-11-01 13:25:45,Al Rayes Laundry Equipment & Accessories w.l.l.,Floor Scrubbing Broom with Stick_4100,Each,15,2,30,0,Completed
800227,2025-11-01 13:25:45,Al Rayes Laundry Equipment & Accessories w.l.l.,Floor Wiper 45cm with stick_4101,Each,15,2,30,0,Completed
800227,2025-11-01 13:25:45,Al Rayes Laundry Equipment & Accessories w.l.l.,Soft Broom with Handle 28.5x5x12cm_4102,Each,15,2,30,0,Completed
800228,2025-11-01 14:01:47,International Foodstuff Group,Al Baladi Pomegranate Molasses 500mlx12_25000,Each,144,2,288,0,Completed
800228,2025-11-01 14:01:47,International Foodstuff Group,Al Baladi Dried Moghrabieh 900g_25001,Each,9,10,90,0,Completed
800228,2025-11-01 14:01:47,International Foodstuff Group,Al Baladi Red Lentil 900g_25002,Each,7.75,10,77.5,0,Completed
800228,2025-11-01 14:01:47,International Foodstuff Group,Al Baladi Stuffed Eggplant ( Macdous ) 14kg_25003,Each,315,1,315,0,Completed
800229,2025-11-01 14:28:24,Ideal Qatar,Coco Mazaya Charcoal 10KG_381,Each,84,1,84,0,Completed
800229,2025-11-01 14:28:24,Ideal Qatar,Aoun White Pepper Powder 500GR_17011,Each,41.8,2,83.6,0,Completed
800229,2025-11-01 14:28:24,Ideal Qatar,VEGONTABLE PULP OF ROASTED EGGPLANT_25004,Each,24.65,6,147.9,0,Completed
800230,2025-11-01 15:11:08,Qnited Trading Company,Qnited Hinged Clear Container Small Size 300pcs/CTN_12061,Each,45,3,135,0,Completed
800231,2025-11-02 11:07:10,Al Majed Marketing & Distribution,Palm Oil 18 Ltr_21001,Each,82,2,164,0,Completed
800231,2025-11-02 11:07:10,Al Majed Marketing & Distribution,Sunflower oil 4x5Lit_21000,Each,116,7,812,0,Completed
